"","label","x","y","plot_type","plot_num","species"
"805","toro",120606.612011327,941176.616501802,"path",7,"torotoro"
"806","toro",124463.126134181,941176.616501802,"path",7,"torotoro"
"807","toro",128442.956059807,941176.616501802,"path",7,"torotoro"
"808","toro",132550.044931346,941176.616501802,"path",7,"torotoro"
"809","toro",0,17050.0221854579,"path",8,"torotoro"
"810","toro",5964.6906697281,17050.0221854579,"path",8,"torotoro"
"811","toro",6153.6748406149,17050.0221854579,"path",8,"torotoro"
"812","toro",6348.64675149081,17050.0221854579,"path",8,"torotoro"
"813","toro",6549.79611681713,17050.0221854579,"path",8,"torotoro"
"814","toro",6757.31866193358,17050.0221854579,"path",8,"torotoro"
"815","toro",6971.41631350578,17050.0221854579,"path",8,"torotoro"
"816","toro",7192.29739600702,17050.0221854579,"path",8,"torotoro"
"817","toro",7420.17683442518,17050.0221854579,"path",8,"torotoro"
"818","toro",7655.27636339224,17050.0221854579,"path",8,"torotoro"
"819","toro",7897.8247429398,17050.0221854579,"path",8,"torotoro"
"820","toro",8148.05798109057,17050.0221854579,"path",8,"torotoro"
"821","toro",8406.21956350238,4627.22280241552,"path",8,"torotoro"
"822","toro",8672.56069038823,4627.22280241552,"path",8,"torotoro"
"823","toro",8947.34052094283,4627.22280241552,"path",8,"torotoro"
"824","toro",9230.82642551353,4627.22280241552,"path",8,"torotoro"
"825","toro",9523.29424576097,4627.22280241552,"path",8,"torotoro"
"826","toro",9825.02856306266,4627.22280241552,"path",8,"torotoro"
"827","toro",10136.3229754205,4627.22280241552,"path",8,"torotoro"
"828","toro",10457.4803831421,4627.22280241552,"path",8,"torotoro"
"829","toro",10788.8132835728,4627.22280241552,"path",8,"torotoro"
"830","toro",11130.6440751671,4627.22280241552,"path",8,"torotoro"
"831","toro",11483.3053711933,5835.19733611652,"path",8,"torotoro"
"832","toro",11847.1403233776,5835.19733611652,"path",8,"torotoro"
"833","toro",12222.5029558032,5835.19733611652,"path",8,"torotoro"
