"","PC1","PC2","PC3","PC4","PC5","PC6","Family","english_name","three_species_model","scientific_name","subspecies","collection","include","number","date","sex","locality","elevation","region","bill_from_nostril","bill_width","bill_depth","tarsus","wing_chord","tail_length","comments"
"41",-0.71535018049568,1.23019768785373,-0.0251464119654783,-0.337053421256308,0.064350257046518,-0.0150546018372835,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","637502","5/28/1897","m","Fergusson Is","",NA,36.62,11.6,11.79,12.37,80,65,""
"43",2.35889148448823,-1.11748369063237,0.146166940372206,-0.346376490153706,0.14130346590635,0.575805271942544,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637475","1/6/05","m","Upper Aroa River, Brit NG","",NA,31.5,9.69,10.47,13.72,70,62,""
"44",2.96962374535598,-0.00410545826029901,-0.163495497700321,0.0572804626544799,-0.0484403602879525,-0.362408287799566,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637476","10/28/04","f","Upper Aroa River, Brit NG","",NA,30.49,9.93,9.99,12.2,73,59,""
"45",1.95400552196976,-0.461298648124406,0.997335388786183,-0.445369003364369,-0.0904556808799664,0.174111121475962,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","419862","4/18/33","m","Baroke, Bioto Creek","30",NA,32.56,10.31,10.76,13.62,71,58,""
"46",2.74296241312806,-0.751013040487001,0.872953127951412,-0.328115453216111,0.642458670638409,0.0482850429590075,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","808985","7/14/65","f","Kermaul EHD","1100",NA,32.41,9.57,10.16,13.59,71,57,""
"47",2.6797356537734,-0.877923493488159,0.0956368757749279,0.0148437644862945,-0.157735094464593,-0.076977688280834,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","419868","12/15/38","f","Kubuma CD","100",NA,30.21,9.85,10.23,13.3,72,60,""
"48",2.03339965665181,0.506733359990157,0.143545127193176,-0.427329366214724,-0.272754310619973,0.0556702241357022,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","419865","4/12/33","f","Baroka, Bioto Creek","30",NA,32.43,10.57,10.59,12.19,72,60,""
"49",2.57667026189139,0.132535333622205,-0.40353491929951,0.850469308115933,-0.362477040286031,-0.341279489095266,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637486",",1879","m","Goldie Mtn., Brit NG","",NA,29.53,9.98,10.57,11.96,76,60,""
"50",1.76606418765455,1.6748940962756,-0.5615599984283,0.64602802925151,0.394813869724953,0.00194465870396512,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637483","n/a","f","Island of Hohieote Bay, Brit NG","",NA,33.15,10.16,11,10.77,78,61,""
"51",1.35500287406978,-0.0972724287888596,0.518742972592773,0.858999435911946,0.796406185832046,0.510239024207454,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637471","8/22/1899","f","Bimbang, NG","",NA,33.34,9.57,11.59,13,77,60,""
"52",2.48014037685893,0.377795020107939,0.859111103695017,-0.00530937647284185,-0.188990736620998,-0.0555075758933926,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro meeki","meeki","AMNH","y","637479","6/22/07","m","Kumusi, NE Brit NG","",NA,31.86,10.27,10.72,12.42,72,56,""
"53",3.32670892916314,-0.804105047885665,-0.865923655068544,0.28374418511206,-0.163299285028946,-0.349858475539691,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426109","9/24/36","f","Lake Daniwubu, Upper Fly River","",NA,28.72,9.57,9.69,12.52,73,62,""
"54",3.86797540195579,-0.92069319476271,0.24263722805034,-0.00409909634974495,0.97534014113888,-0.16481258832005,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426103","10/23/36","f","Fly River","",NA,30.8,8.92,9.48,13.02,71,57,""
"55",3.65030671721565,-0.781769138051427,-0.190131148436092,0.952076131275912,-0.808217181458123,0.187259682747046,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426102","10/22/36","f","Fly River","",NA,27.36,9.48,10.52,12.5,71,59,""
"56",2.9157153317282,0.28348363082829,-0.299500188198784,0.111545155248602,-0.0958433607309178,0.0883688148938685,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426091","4/21/36","f","Mabaduane","",NA,30.74,9.88,10.3,11.83,72,60,""
"57",2.83002226371206,0.417950166567517,-0.193889736060207,-0.304947395775057,0.0974146269146628,0.163634710799042,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","421889","1/30/34","m","Wuroi - Oriano River, Brit Papua","",NA,31.81,9.96,10.18,11.84,71,60,""
"58",3.7763327005609,0.505188837253797,-0.984025376395235,0.286572405595946,0.0951951220529804,0.241697168384381,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426104","8/21/36","m","Lake Daviumbu, Upper Fly River","",NA,29.83,9.39,9.91,11.03,71,61,""
"59",3.65415639386779,0.804350495262816,-0.59088023463974,0.0512532680648077,-0.134242516773918,-0.0704056764258646,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426106","9/1/36","m","Lake Daviumbu","",NA,30.19,9.8,9.88,11.01,71,59,""
"60",2.23848050663827,0.0361730682436051,0.0686777230062624,-0.0704561650409598,-0.130509006904468,-0.0439368436435653,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426105","9/1/36","m","Lake Daviumbu","",NA,31.55,10.21,10.5,12.51,73,60,""
"61",2.88744475555445,0.19290239362592,0.302883205812028,-0.577125364184382,-0.27987784485129,0.535919279576164,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426093","8/11/36","m","30 mi above D'Albert's Gumetiam, Upper Fly River","",NA,31.69,10.11,10.44,12.25,68,59,""
"62",1.76827297039391,0.736982524556224,0.27326186959896,0.209606202795741,-0.120343476190845,0.571214652183864,"Alcedidae","Yellow-billed Kingfisher","torotoro","Syma torotoro pseudestes","pseudestes","AMNH","y","426089","5/31/36","m","5 mi below Palmer Junction","80",NA,32.71,10.27,11.38,11.97,73,60,""
