"","H1","H2","H3","nABBA","nBABA","Dstat","jackEst","SE","Z","tree"
"1864","toro_flav","toro_meek","mega_mega",98447,89181,0.04938495,0.04938495,0.003086975,15.99784,"torotoro & megarhyncha C"
"1990","toro_tent","toro_meek","mega_sella",106433,90425,0.0813175,0.0813175,0.002866349,28.36971,"torotoro & megarhyncha H"
"1991","toro_tent","toro_flav","mega_sella",85704,82998,0.01604012,0.01604012,0.003404337,4.711672,"torotoro & megarhyncha H"
"1992","toro_meek","toro_flav","mega_sella",58764,66728,-0.06346221,-0.06346221,0.003479366,18.23959,"torotoro & megarhyncha H"
"1993","toro_tent","toro_toro","mega_sella",183757,178838,0.0135661,0.0135661,0.002222072,6.105157,"torotoro & megarhyncha H"
"1994","toro_meek","toro_toro","mega_sella",132247,141110,-0.0324228,-0.0324228,0.002432554,13.32871,"torotoro & megarhyncha H"
"1995","toro_flav","toro_toro","mega_sella",117098,114483,0.01129195,0.01129195,0.002821539,4.002051,"torotoro & megarhyncha H"
"1996","toro_tent","toro_flav","mega_sella",178023,115379,0.2135091,0.2135091,0.003800213,56.18347,"torotoro & megarhyncha H"
"1997","toro_meek","toro_flav","mega_sella",127613,92373,0.160192,0.160192,0.004179093,38.33177,"torotoro & megarhyncha H"
"1998","toro_flav","toro_flav","mega_sella",113160,74125,0.2084257,0.2084257,0.004241137,49.14381,"torotoro & megarhyncha H"
"1999","toro_toro","toro_flav","mega_sella",187166,136858,0.1552601,0.1552601,0.003254296,47.70928,"torotoro & megarhyncha H"
"2000","toro_tent","toro_meek","mega_sella",244311,226045,0.03883441,0.03883441,0.002106482,18.43568,"torotoro & megarhyncha H"
"2001","toro_meek","toro_meek","mega_sella",175002,177702,-0.007655144,-0.007655144,0.002369288,3.23099,"torotoro & megarhyncha H"
"2002","toro_flav","toro_meek","mega_sella",153929,143434,0.03529356,0.03529356,0.002671956,13.20889,"torotoro & megarhyncha H"
"2003","toro_toro","toro_meek","mega_sella",190352,178960,0.03084655,0.03084655,0.001977953,15.59519,"torotoro & megarhyncha H"
"2004","toro_flav","toro_meek","mega_sella",181349,239022,-0.1371955,-0.1371955,0.003204472,42.81376,"torotoro & megarhyncha H"
"2005","toro_tent","toro_flav","mega_sella",88273,88687,-0.002339512,-0.002339512,0.002748438,0.8512151,"torotoro & megarhyncha H"
"2006","toro_meek","toro_flav","mega_sella",90067,105866,-0.08063471,-0.08063471,0.00287073,28.08857,"torotoro & megarhyncha H"
"2007","toro_flav","toro_flav","mega_sella",82329,85713,-0.02013782,-0.02013782,0.003253961,6.188711,"torotoro & megarhyncha H"
"2008","toro_toro","toro_flav","mega_sella",178795,184544,-0.01582269,-0.01582269,0.002185204,7.240828,"torotoro & megarhyncha H"
"2009","toro_flav","toro_flav","mega_sella",114696,177399,-0.2146665,-0.2146665,0.003740741,57.38607,"torotoro & megarhyncha H"
"2010","toro_meek","toro_flav","mega_sella",225535,244568,-0.04048687,-0.04048687,0.00209086,19.36374,"torotoro & megarhyncha H"
"2011","toro_tent","toro_meek","mega_sella",96730,86817,0.05400797,0.05400797,0.002957636,18.26052,"torotoro & megarhyncha H"
"2012","toro_meek","toro_meek","mega_sella",43196,46875,-0.04084556,-0.04084556,0.003705443,11.02312,"torotoro & megarhyncha H"
"2013","toro_flav","toro_meek","mega_sella",61325,56570,0.0403325,0.0403325,0.003617868,11.14814,"torotoro & megarhyncha H"
"2014","toro_toro","toro_meek","mega_sella",127997,125623,0.009360461,0.009360461,0.002478627,3.77647,"torotoro & megarhyncha H"
"2015","toro_flav","toro_meek","mega_sella",84129,119816,-0.1749835,-0.1749835,0.004068127,43.01327,"torotoro & megarhyncha H"
"2016","toro_meek","toro_meek","mega_sella",161075,164822,-0.0114975,-0.0114975,0.00242498,4.741276,"torotoro & megarhyncha H"
"2017","toro_flav","toro_meek","mega_sella",96366,86874,0.05180092,0.05180092,0.003019289,17.15666,"torotoro & megarhyncha H"
"2143","toro_tent","toro_meek","mega_wellsi",54121,46917,0.07129991,0.07129991,0.00379093,18.80803,"torotoro & megarhyncha W"
